Energy_MeV,F8 脉冲高度响应,Relative_Error
6.24,4.87143e-07,0.0542
6.25,4.8e-07,0.0546
6.26,4.62857e-07,0.0556
6.27,4.27143e-07,0.0578
6.28,4.1e-07,0.059
6.29,4.37143e-07,0.0572
6.3,4.87143e-07,0.0542
6.31,4.22857e-07,0.0581
6.32,4.17143e-07,0.0585
6.33,4.44286e-07,0.0567
6.34,4.35714e-07,0.0573
6.35,4.38571e-07,0.0571
6.36,5.14286e-07,0.0527
6.37,6.14286e-07,0.0482
6.38,6.05714e-07,0.0486
6.39,6.55714e-07,0.0467
6.4,6.81429e-07,0.0458
6.41,6.81429e-07,0.0458
6.42,7.02857e-07,0.0451
6.43,6.81429e-07,0.0458
6.44,7e-07,0.0452
6.45,5.54286e-07,0.0508
6.46,5.07143e-07,0.0531
6.47,5e-07,0.0535
6.48,4.65714e-07,0.0554
6.49,3.75714e-07,0.0617
6.5,3.65714e-07,0.0625
6.51,3.62857e-07,0.0627
6.52,3.7e-07,0.0621
6.53,4.07143e-07,0.0592
6.54,4.27143e-07,0.0578
6.55,3.87143e-07,0.0607
6.56,4.41429e-07,0.0569
6.57,5.28571e-07,0.052
6.58,5.87143e-07,0.0493
6.59,6.9e-07,0.0455
6.6,7.14286e-07,0.0447
6.61,6.87143e-07,0.0456
6.62,7.01429e-07,0.0451
6.63,6.24286e-07,0.0478
6.64,5.62857e-07,0.0504
6.65,5.32857e-07,0.0518
6.66,4.67143e-07,0.0553
6.67,4.54286e-07,0.0561
6.68,3.84286e-07,0.061
6.69,4.07143e-07,0.0592
6.7,3.65714e-07,0.0625
6.71,3.42857e-07,0.0645
6.72,3.31429e-07,0.0657
6.73,3.04286e-07,0.0685
6.74,3.01429e-07,0.0688
6.75,2.74286e-07,0.0722
6.76,3.01429e-07,0.0688
6.77,2.75714e-07,0.072
6.78,2.81429e-07,0.0712
6.79,2.78571e-07,0.0716
6.8,2.54286e-07,0.075
6.81,2.78571e-07,0.0716
6.82,2.5e-07,0.0756
6.83,2.51429e-07,0.0754
6.84,3.14286e-07,0.0674
6.85,2.72857e-07,0.0724
6.86,3.31429e-07,0.0657
6.87,3.51429e-07,0.0638
6.88,3.78571e-07,0.0614
6.89,3.68571e-07,0.0623
6.9,3.84286e-07,0.061
6.91,4.17143e-07,0.0585
6.92,4.21429e-07,0.0582
6.93,4.35714e-07,0.0573
6.94,3.9e-07,0.0605
6.95,3.78571e-07,0.0614
6.96,3.32857e-07,0.0655
6.97,2.8e-07,0.0714
6.98,2.21429e-07,0.0803
6.99,2.37143e-07,0.0776
7,1.82857e-07,0.0884
7.01,1.54286e-07,0.0962
7.02,1.94286e-07,0.0857
7.03,1.75714e-07,0.0902
7.04,1.47143e-07,0.0985
7.05,1.42857e-07,0.1
7.06,2.01429e-07,0.0842
7.07,2.54286e-07,0.075
7.08,2.91429e-07,0.07
7.09,3.02857e-07,0.0687
7.1,3.58571e-07,0.0631
7.11,3.58571e-07,0.0631
7.12,4.05714e-07,0.0593
7.13,3.97143e-07,0.06
7.14,3.88571e-07,0.0606
7.15,3.05714e-07,0.0684
7.16,2.54286e-07,0.075
7.17,2.14286e-07,0.0816
