Energy_MeV,F8 脉冲高度响应,Relative_Error
5.19,9.23333e-07,0.0601
5.2,8.06667e-07,0.0643
5.21,8.43333e-07,0.0629
5.22,8.8e-07,0.0615
5.23,8.4e-07,0.063
5.24,8.9e-07,0.0612
5.25,8.3e-07,0.0634
5.26,8.06667e-07,0.0643
5.27,9.66667e-07,0.0587
5.28,9.26667e-07,0.06
5.29,8e-07,0.0645
5.3,8.76667e-07,0.0617
5.31,8.5e-07,0.0626
5.32,8.13333e-07,0.064
5.33,7.73333e-07,0.0657
5.34,8e-07,0.0645
5.35,8.3e-07,0.0634
5.36,9.36667e-07,0.0597
5.37,7.9e-07,0.065
5.38,8.46667e-07,0.0627
5.39,8.96667e-07,0.061
5.4,7.96667e-07,0.0647
5.41,8.06667e-07,0.0643
5.42,8.36667e-07,0.0631
5.43,8.43333e-07,0.0629
5.44,7.66667e-07,0.0659
5.45,7.26667e-07,0.0677
5.46,7.76667e-07,0.0655
5.47,7.8e-07,0.0654
5.48,7.43333e-07,0.067
5.49,6.96667e-07,0.0692
5.5,6.66667e-07,0.0707
5.51,5.96667e-07,0.0747
5.52,6.73333e-07,0.0704
5.53,7.1e-07,0.0685
5.54,6.3e-07,0.0727
5.55,6.93333e-07,0.0693
5.56,8.23333e-07,0.0636
5.57,8.43333e-07,0.0629
5.58,1.02e-06,0.0572
5.59,1.24333e-06,0.0518
5.6,1.45333e-06,0.0479
5.61,1.51667e-06,0.0469
5.62,1.74667e-06,0.0437
5.63,1.61e-06,0.0455
5.64,1.69e-06,0.0444
5.65,1.43333e-06,0.0482
5.66,1.24333e-06,0.0518
5.67,1.09667e-06,0.0551
5.68,9.93333e-07,0.0579
5.69,8.4e-07,0.063
5.7,7.76667e-07,0.0655
5.71,7.7e-07,0.0658
5.72,6.9e-07,0.0695
5.73,7.26667e-07,0.0677
5.74,7.23333e-07,0.0679
5.75,6.73333e-07,0.0704
5.76,7.2e-07,0.068
5.77,7.96667e-07,0.0647
5.78,7e-07,0.069
5.79,7.36667e-07,0.0673
5.8,7.03333e-07,0.0688
5.81,7.13333e-07,0.0684
5.82,7.5e-07,0.0667
5.83,6.46667e-07,0.0718
5.84,6.73333e-07,0.0704
5.85,7.26667e-07,0.0677
5.86,7.9e-07,0.065
5.87,8.26667e-07,0.0635
5.88,8.1e-07,0.0642
5.89,8.66667e-07,0.062
5.9,7.96667e-07,0.0647
5.91,8.4e-07,0.063
5.92,8.03333e-07,0.0644
5.93,7.93333e-07,0.0648
5.94,7.23333e-07,0.0679
5.95,6.7e-07,0.0705
5.96,6.13333e-07,0.0737
5.97,5.36667e-07,0.0788
5.98,4.93333e-07,0.0822
5.99,5.73333e-07,0.0762
6,4.73333e-07,0.0839
6.01,4.66667e-07,0.0845
6.02,4.8e-07,0.0833
6.03,4.46667e-07,0.0864
6.04,5.3e-07,0.0793
6.05,5.06667e-07,0.0811
6.06,6.06667e-07,0.0741
6.07,7.66667e-07,0.0659
6.08,8.26667e-07,0.0635
6.09,1.02333e-06,0.0571
6.1,1.22e-06,0.0523
6.11,1.22333e-06,0.0522
6.12,1.36333e-06,0.0494
6.13,1.41667e-06,0.0485
6.14,1.41667e-06,0.0485
6.15,1.36333e-06,0.0494
6.16,1.16667e-06,0.0535
6.17,1.03667e-06,0.0567
6.18,9.3e-07,0.0599
6.19,8.06667e-07,0.0643
6.2,6.66667e-07,0.0707
6.21,6.66667e-07,0.0707
6.22,4.63333e-07,0.0848
6.23,4.53333e-07,0.0857
6.24,4.73333e-07,0.0839
6.25,4.86667e-07,0.0828
6.26,4.7e-07,0.0842
6.27,3.83333e-07,0.0933
6.28,4.36667e-07,0.0874
6.29,4.33333e-07,0.0877
6.3,3.86667e-07,0.0928
6.31,4.46667e-07,0.0864
6.32,3.83333e-07,0.0933
6.33,4.76667e-07,0.0836
6.34,3.9e-07,0.0925
6.35,4.3e-07,0.088
6.36,5.33333e-07,0.0791
6.37,5.06667e-07,0.0811
6.38,5.06667e-07,0.0811
6.39,5.83333e-07,0.0756
6.4,6.4e-07,0.0722
6.41,7.46667e-07,0.0668
6.42,7.3e-07,0.0676
6.43,7.2e-07,0.068
6.44,6.36667e-07,0.0724
6.45,5.73333e-07,0.0762
6.46,5.43333e-07,0.0783
6.47,4.83333e-07,0.083
6.48,4.56667e-07,0.0854
6.49,4.26667e-07,0.0884
6.5,3.63333e-07,0.0958
6.51,3.96667e-07,0.0917
6.52,3.63333e-07,0.0958
6.53,4.33333e-07,0.0877
6.54,3.46667e-07,0.0981
6.55,4.2e-07,0.0891
6.56,5.16667e-07,0.0803
6.57,5.26667e-07,0.0796
6.58,5.76667e-07,0.076
6.59,6.43333e-07,0.072
6.6,6.8e-07,0.07
6.61,7.2e-07,0.068
6.62,7.4e-07,0.0671
6.63,6.5e-07,0.0716
6.64,6.36667e-07,0.0724
6.65,5.3e-07,0.0793
6.66,4.76667e-07,0.0836
6.67,4.6e-07,0.0851
6.68,4.6e-07,0.0851
6.69,3.96667e-07,0.0917
6.7,3.83333e-07,0.0933
6.71,3.86667e-07,0.0928
6.72,3.6e-07,0.0962
6.73,3.4e-07,0.099
6.74,3e-07,0.1054
6.75,2.5e-07,0.1155
6.76,2.9e-07,0.1072
6.77,2.3e-07,0.1204
6.78,2.66667e-07,0.1118
6.79,2.7e-07,0.1111
6.8,3.5e-07,0.0976
6.81,2.56667e-07,0.114
6.82,2.43333e-07,0.117
6.83,3.36667e-07,0.0995
6.84,2.43333e-07,0.117
6.85,3.56667e-07,0.0967
6.86,2.53333e-07,0.1147
6.87,3.3e-07,0.1005
6.88,3.5e-07,0.0976
6.89,3.56667e-07,0.0967
6.9,3.76667e-07,0.0941
6.91,4.26667e-07,0.0884
6.92,4.36667e-07,0.0874
6.93,4.1e-07,0.0902
6.94,3.86667e-07,0.0928
6.95,3.2e-07,0.1021
6.96,3.4e-07,0.099
6.97,2.56667e-07,0.114
6.98,2.2e-07,0.1231
6.99,2.5e-07,0.1155
7,2.4e-07,0.1179
7.01,1.36667e-07,0.1562
7.02,1.5e-07,0.1491
7.03,1.76667e-07,0.1374
7.04,1.9e-07,0.1325
7.05,1.36667e-07,0.1562
7.06,2.33333e-07,0.1195
7.07,1.93333e-07,0.1313
7.08,2.36667e-07,0.1187
7.09,2.86667e-07,0.1078
7.1,3.2e-07,0.1021
7.11,4.06667e-07,0.0905
7.12,3.43333e-07,0.0985
7.13,3.73333e-07,0.0945
7.14,3.93333e-07,0.0921
7.15,3.1e-07,0.1037
7.16,2.93333e-07,0.1066
7.17,2.76667e-07,0.1098
7.18,2.43333e-07,0.117
7.19,1.6e-07,0.1443
7.2,1.33333e-07,0.1581
7.21,1.5e-07,0.1491
7.22,9.33333e-08,0.189
7.23,1.36667e-07,0.1562
7.24,1.36667e-07,0.1562
7.25,1.2e-07,0.1667
7.26,1.43333e-07,0.1525
7.27,1.3e-07,0.1601
7.28,1.06667e-07,0.1768
7.29,1.26667e-07,0.1622
7.3,1.1e-07,0.1741
7.31,1.2e-07,0.1667
7.32,1.13333e-07,0.1715
7.33,1.36667e-07,0.1562
7.34,1.33333e-07,0.1581
7.35,1.53333e-07,0.1474
7.36,1.43333e-07,0.1525
7.37,1.23333e-07,0.1644
7.38,1.2e-07,0.1667
7.39,1.36667e-07,0.1562
7.4,1.33333e-07,0.1581
7.41,9e-08,0.1925
7.42,9.66667e-08,0.1857
7.43,1.13333e-07,0.1715
7.44,1.26667e-07,0.1622
7.45,9e-08,0.1925
7.46,7.33333e-08,0.2132
7.47,9.33333e-08,0.189
7.48,9.33333e-08,0.189
7.49,1.06667e-07,0.1768
7.5,1.03333e-07,0.1796
7.51,8e-08,0.2041
7.52,9e-08,0.1925
7.53,8.66667e-08,0.1961
7.54,7.33333e-08,0.2132
7.55,1.16667e-07,0.169
7.56,9e-08,0.1925
7.57,1.03333e-07,0.1796
7.58,1.26667e-07,0.1622
7.59,8.66667e-08,0.1961
7.6,1.03333e-07,0.1796
7.61,1.16667e-07,0.169
7.62,8.33333e-08,0.2
7.63,9e-08,0.1925
7.64,9.33333e-08,0.189
7.65,1.16667e-07,0.169
7.66,1.13333e-07,0.1715
7.67,7.66667e-08,0.2085
7.68,7e-08,0.2182
7.69,9e-08,0.1925
7.7,6.66667e-08,0.2236
7.71,7e-08,0.2182
7.72,1.1e-07,0.1741
7.73,8.66667e-08,0.1961
7.74,9.66667e-08,0.1857
7.75,1.1e-07,0.1741
7.76,9e-08,0.1925
7.77,4.66667e-08,0.2673
7.78,7.33333e-08,0.2132
7.79,7.66667e-08,0.2085
7.8,5.66667e-08,0.2425
7.81,8.66667e-08,0.1961
7.82,8.66667e-08,0.1961
7.83,8.33333e-08,0.2
7.84,1e-07,0.1826
7.85,1.2e-07,0.1667
7.86,8.66667e-08,0.1961
7.87,9.66667e-08,0.1857
7.88,5e-08,0.2582
7.89,7.33333e-08,0.2132
7.9,9e-08,0.1925
7.91,6.33333e-08,0.2294
7.92,1e-07,0.1826
7.93,5.66667e-08,0.2425
7.94,9e-08,0.1925
7.95,7e-08,0.2182
7.96,5.33333e-08,0.25
7.97,6.33333e-08,0.2294
7.98,5.33333e-08,0.25
7.99,3.66667e-08,0.3015
8,7.66667e-08,0.2085
8.01,8e-08,0.2041
8.02,6e-08,0.2357
8.03,6.33333e-08,0.2294
8.04,4.66667e-08,0.2673
8.05,6.33333e-08,0.2294
8.06,5.33333e-08,0.25
8.07,7.33333e-08,0.2132
8.08,8.33333e-08,0.2
8.09,6.66667e-08,0.2236
8.1,7.33333e-08,0.2132
8.11,6.33333e-08,0.2294
8.12,5.33333e-08,0.25
8.13,8e-08,0.2041
8.14,6e-08,0.2357
8.15,6e-08,0.2357
8.16,8e-08,0.2041
8.17,6e-08,0.2357
8.18,6.33333e-08,0.2294
8.19,4.66667e-08,0.2673
8.2,6.33333e-08,0.2294
8.21,7e-08,0.2182
8.22,5.66667e-08,0.2425
8.23,3.33333e-08,0.3162
8.24,5.66667e-08,0.2425
8.25,4.33333e-08,0.2774
8.26,4e-08,0.2887
8.27,5e-08,0.2582
8.28,4.33333e-08,0.2774
8.29,5.33333e-08,0.25
8.3,4e-08,0.2887
8.31,5.66667e-08,0.2425
8.32,6e-08,0.2357
8.33,5.66667e-08,0.2425
8.34,5.33333e-08,0.25
8.35,6.33333e-08,0.2294
8.36,6.33333e-08,0.2294
8.37,6.33333e-08,0.2294
8.38,5e-08,0.2582
8.39,7e-08,0.2182
8.4,7e-08,0.2182
8.41,6e-08,0.2357
8.42,4e-08,0.2887
8.43,6.66667e-08,0.2236
8.44,6e-08,0.2357
8.45,6e-08,0.2357
