Energy_MeV,F8_Response_per_source_neutron,Relative_Error
5.65,1.5e-06,0.0816
5.66,1.1e-06,0.0953
5.67,1.11e-06,0.0949
5.68,9.5e-07,0.1026
5.69,8.9e-07,0.106
5.7,6.9e-07,0.1204
5.71,9.6e-07,0.1021
5.72,9.2e-07,0.1043
5.73,8.4e-07,0.1091
5.74,7.3e-07,0.117
5.75,6.5e-07,0.124
5.76,6.7e-07,0.1222
5.77,7.1e-07,0.1187
5.78,5.3e-07,0.1374
5.79,5.6e-07,0.1336
5.8,9e-07,0.1054
5.81,6.8e-07,0.1213
5.82,6.9e-07,0.1204
5.83,7.2e-07,0.1179
5.84,5.9e-07,0.1302
5.85,7.1e-07,0.1187
5.86,8.4e-07,0.1091
5.87,7.5e-07,0.1155
5.88,8e-07,0.1118
5.89,7.4e-07,0.1162
5.9,7.2e-07,0.1179
5.91,8.7e-07,0.1072
5.92,7.7e-07,0.114
5.93,7e-07,0.1195
5.94,6.2e-07,0.127
5.95,7.7e-07,0.114
5.96,5.8e-07,0.1313
5.97,5.8e-07,0.1313
5.98,4.7e-07,0.1459
5.99,5.7e-07,0.1325
6,5.7e-07,0.1325
6.01,4.5e-07,0.1491
6.02,5e-07,0.1414
6.03,4.8e-07,0.1443
6.04,4.5e-07,0.1491
6.05,6.5e-07,0.124
6.06,5.6e-07,0.1336
6.07,7.9e-07,0.1125
6.08,8.1e-07,0.1111
6.09,8.9e-07,0.106
6.1,1.08e-06,0.0962
6.11,1.21e-06,0.0909
6.12,1.51e-06,0.0814
6.13,1.48e-06,0.0822
6.14,1.25e-06,0.0894
6.15,1.33e-06,0.0867
6.16,1.06e-06,0.0971
6.17,1.16e-06,0.0928
6.18,8.2e-07,0.1104
6.19,5.9e-07,0.1302
6.2,5.9e-07,0.1302
6.21,5.6e-07,0.1336
6.22,3.8e-07,0.1622
6.23,5.2e-07,0.1387
6.24,4.8e-07,0.1443
6.25,4.2e-07,0.1543
6.26,4.5e-07,0.1491
6.27,5e-07,0.1414
6.28,4.5e-07,0.1491
6.29,3.3e-07,0.1741
6.3,5e-07,0.1414
6.31,4.4e-07,0.1508
6.32,5e-07,0.1414
6.33,4.6e-07,0.1474
6.34,3.2e-07,0.1768
6.35,3.9e-07,0.1601
6.36,4.5e-07,0.1491
6.37,5.9e-07,0.1302
6.38,6.1e-07,0.128
6.39,7.3e-07,0.117
6.4,6.3e-07,0.126
6.41,6.9e-07,0.1204
6.42,6.3e-07,0.126
6.43,6.2e-07,0.127
6.44,9.8e-07,0.101
6.45,6.5e-07,0.124
6.46,5e-07,0.1414
6.47,5.9e-07,0.1302
6.48,4.6e-07,0.1474
6.49,3.6e-07,0.1667
6.5,2.8e-07,0.189
6.51,4.7e-07,0.1459
6.52,3.6e-07,0.1667
6.53,3.4e-07,0.1715
6.54,4.9e-07,0.1429
6.55,3.3e-07,0.1741
6.56,4.9e-07,0.1429
6.57,5.3e-07,0.1374
6.58,7.4e-07,0.1162
6.59,7.3e-07,0.117
6.6,6.2e-07,0.127
6.61,8e-07,0.1118
6.62,6.3e-07,0.126
6.63,5.4e-07,0.1361
6.64,6.1e-07,0.128
6.65,6.1e-07,0.128
6.66,4.6e-07,0.1474
6.67,4.1e-07,0.1562
6.68,3.6e-07,0.1667
6.69,4e-07,0.1581
6.7,2.4e-07,0.2041
6.71,3.2e-07,0.1768
6.72,2.7e-07,0.1925
6.73,3.2e-07,0.1768
6.74,2.6e-07,0.1961
6.75,2.4e-07,0.2041
6.76,3.5e-07,0.169
6.77,2.6e-07,0.1961
6.78,2.7e-07,0.1925
6.79,3.2e-07,0.1768
6.8,3.4e-07,0.1715
6.81,3.1e-07,0.1796
6.82,2.5e-07,0.2
6.83,2.5e-07,0.2
6.84,3.3e-07,0.1741
6.85,3.2e-07,0.1768
6.86,3.7e-07,0.1644
6.87,2.9e-07,0.1857
6.88,2.9e-07,0.1857
6.89,3.4e-07,0.1715
6.9,3.4e-07,0.1715
6.91,4.5e-07,0.1491
6.92,4.1e-07,0.1562
6.93,5.3e-07,0.1374
6.94,3.7e-07,0.1644
6.95,3.2e-07,0.1768
6.96,4.2e-07,0.1543
6.97,2.5e-07,0.2
6.98,2.4e-07,0.2041
6.99,2.1e-07,0.2182
7,1.5e-07,0.2582
7.01,1.4e-07,0.2673
7.02,1.7e-07,0.2425
7.03,2e-07,0.2236
7.04,2e-07,0.2236
7.05,1.1e-07,0.3015
