Energy_MeV,F8_Response_per_source_neutron,Relative_Error
5.32,8.14e-07,0.0496
5.33,8.44e-07,0.0487
5.34,7.6e-07,0.0513
5.35,8.32e-07,0.049
5.36,8.9e-07,0.0474
5.37,8.12e-07,0.0496
5.38,8.42e-07,0.0487
5.39,8.6e-07,0.0482
5.4,8.5e-07,0.0485
5.41,8.28e-07,0.0491
5.42,8.3e-07,0.0491
5.43,8.16e-07,0.0495
5.44,7.16e-07,0.0529
5.45,7.68e-07,0.051
5.46,7.64e-07,0.0512
5.47,7.74e-07,0.0508
5.48,7.48e-07,0.0517
5.49,7.1e-07,0.0531
5.5,6.78e-07,0.0543
5.51,6.16e-07,0.057
5.52,7.1e-07,0.0531
5.53,7.14e-07,0.0529
5.54,6.24e-07,0.0566
5.55,6.94e-07,0.0537
5.56,8.18e-07,0.0494
5.57,8.86e-07,0.0475
5.58,1e-06,0.0447
5.59,1.264e-06,0.0398
5.6,1.438e-06,0.0373
5.61,1.542e-06,0.036
5.62,1.696e-06,0.0343
5.63,1.65e-06,0.0348
5.64,1.692e-06,0.0344
5.65,1.492e-06,0.0366
5.66,1.28e-06,0.0395
5.67,1.132e-06,0.042
5.68,9.42e-07,0.0461
5.69,8.8e-07,0.0477
5.7,7.78e-07,0.0507
5.71,7.76e-07,0.0508
5.72,6.86e-07,0.054
5.73,7.24e-07,0.0526
5.74,7.22e-07,0.0526
5.75,6.74e-07,0.0545
5.76,7.16e-07,0.0529
5.77,7.86e-07,0.0504
5.78,7.08e-07,0.0531
5.79,7.6e-07,0.0513
5.8,7.02e-07,0.0534
5.81,6.78e-07,0.0543
5.82,7.36e-07,0.0521
5.83,6.58e-07,0.0551
5.84,7.02e-07,0.0534
5.85,7.56e-07,0.0514
5.86,7.64e-07,0.0512
5.87,8.38e-07,0.0489
5.88,8.24e-07,0.0493
5.89,8.2e-07,0.0494
5.9,8.26e-07,0.0492
5.91,8.62e-07,0.0482
5.92,7.8e-07,0.0506
5.93,7.58e-07,0.0514
5.94,6.94e-07,0.0537
5.95,6.72e-07,0.0546
5.96,5.96e-07,0.0579
5.97,5.78e-07,0.0588
5.98,5.12e-07,0.0625
5.99,5.8e-07,0.0587
6,5e-07,0.0632
6.01,4.64e-07,0.0657
6.02,4.92e-07,0.0638
6.03,4.48e-07,0.0668
6.04,5.32e-07,0.0613
6.05,5.54e-07,0.0601
6.06,5.94e-07,0.058
6.07,7.2e-07,0.0527
6.08,8.46e-07,0.0486
6.09,9.88e-07,0.045
6.1,1.22e-06,0.0405
6.11,1.266e-06,0.0397
6.12,1.416e-06,0.0376
6.13,1.462e-06,0.037
6.14,1.378e-06,0.0381
6.15,1.32e-06,0.0389
6.16,1.218e-06,0.0405
6.17,9.9e-07,0.0449
6.18,9.7e-07,0.0454
6.19,7.48e-07,0.0517
6.2,6.36e-07,0.0561
6.21,5.92e-07,0.0581
6.22,4.8e-07,0.0645
6.23,4.42e-07,0.0673
6.24,4.62e-07,0.0658
6.25,4.8e-07,0.0645
6.26,4.64e-07,0.0657
6.27,3.88e-07,0.0718
6.28,4.38e-07,0.0676
6.29,4.5e-07,0.0667
6.3,4.14e-07,0.0695
6.31,4.32e-07,0.068
6.32,4.26e-07,0.0685
6.33,4.5e-07,0.0667
6.34,4.36e-07,0.0677
6.35,4.38e-07,0.0676
6.36,5.12e-07,0.0625
6.37,5.36e-07,0.0611
6.38,5.5e-07,0.0603
6.39,6.3e-07,0.0563
6.4,6.7e-07,0.0546
6.41,7.6e-07,0.0513
6.42,6.76e-07,0.0544
6.43,6.96e-07,0.0536
6.44,6.34e-07,0.0562
6.45,5.48e-07,0.0604
6.46,5.34e-07,0.0612
6.47,5.04e-07,0.063
6.48,4.52e-07,0.0665
6.49,4.24e-07,0.0687
6.5,3.68e-07,0.0737
6.51,3.86e-07,0.072
6.52,3.64e-07,0.0741
6.53,4.36e-07,0.0677
6.54,3.66e-07,0.0739
6.55,4.02e-07,0.0705
6.56,4.98e-07,0.0634
6.57,5.34e-07,0.0612
6.58,5.84e-07,0.0585
6.59,6.1e-07,0.0573
6.6,6.92e-07,0.0538
6.61,7.18e-07,0.0528
6.62,7e-07,0.0535
6.63,6.72e-07,0.0546
6.64,5.94e-07,0.058
6.65,5.68e-07,0.0593
6.66,5.02e-07,0.0631
6.67,4.62e-07,0.0658
6.68,4.36e-07,0.0677
6.69,3.94e-07,0.0712
6.7,3.78e-07,0.0727
6.71,3.48e-07,0.0758
6.72,3.3e-07,0.0778
6.73,3.64e-07,0.0741
6.74,3e-07,0.0816
6.75,2.84e-07,0.0839
6.76,3.14e-07,0.0798
6.77,2.52e-07,0.0891
6.78,2.58e-07,0.088
6.79,2.82e-07,0.0842
6.8,3.18e-07,0.0793
6.81,2.86e-07,0.0836
6.82,2.4e-07,0.0913
6.83,3.04e-07,0.0811
6.84,2.56e-07,0.0884
6.85,3.2e-07,0.0791
6.86,2.68e-07,0.0864
6.87,3.28e-07,0.0781
6.88,3.46e-07,0.076
6.89,3.84e-07,0.0722
6.9,3.82e-07,0.0724
6.91,4.18e-07,0.0692
6.92,4.08e-07,0.07
6.93,3.98e-07,0.0709
6.94,3.82e-07,0.0724
6.95,3.26e-07,0.0783
6.96,3.26e-07,0.0783
6.97,2.5e-07,0.0894
6.98,2.28e-07,0.0937
6.99,2.44e-07,0.0905
7,2.24e-07,0.0945
7.01,1.48e-07,0.1162
7.02,1.58e-07,0.1125
7.03,1.68e-07,0.1091
7.04,1.8e-07,0.1054
7.05,1.66e-07,0.1098
7.06,2.48e-07,0.0898
7.07,1.9e-07,0.1026
7.08,2.7e-07,0.0861
7.09,2.94e-07,0.0825
7.1,3.24e-07,0.0786
7.11,4.12e-07,0.0697
7.12,3.3e-07,0.0778
7.13,3.82e-07,0.0724
7.14,3.94e-07,0.0712
7.15,3e-07,0.0816
7.16,3.02e-07,0.0814
7.17,2.56e-07,0.0884
7.18,2.12e-07,0.0971
7.19,1.58e-07,0.1125
7.2,1.5e-07,0.1155
7.21,1.5e-07,0.1155
7.22,1.12e-07,0.1336
7.23,1.44e-07,0.1179
7.24,1.34e-07,0.1222
7.25,1.14e-07,0.1325
7.26,1.26e-07,0.126
7.27,1.32e-07,0.1231
7.28,9.6e-08,0.1443
7.29,1.36e-07,0.1213
7.3,1.2e-07,0.1291
7.31,1.16e-07,0.1313
7.32,1.2e-07,0.1291
7.33,1.38e-07,0.1204
7.34,1.42e-07,0.1187
7.35,1.4e-07,0.1195
7.36,1.2e-07,0.1291
7.37,1.24e-07,0.127
7.38,1.16e-07,0.1313
7.39,1.22e-07,0.128
7.4,1.24e-07,0.127
7.41,1.06e-07,0.1374
7.42,9e-08,0.1491
7.43,1.32e-07,0.1231
7.44,1.4e-07,0.1195
7.45,9.2e-08,0.1474
7.46,9.2e-08,0.1474
7.47,8.8e-08,0.1508
7.48,8e-08,0.1581
7.49,1.18e-07,0.1302
7.5,1.12e-07,0.1336
7.51,8.6e-08,0.1525
7.52,9.4e-08,0.1459
7.53,9.4e-08,0.1459
7.54,6.2e-08,0.1796
7.55,1.16e-07,0.1313
7.56,9.8e-08,0.1429
7.57,1.08e-07,0.1361
7.58,1.26e-07,0.126
7.59,8.6e-08,0.1525
7.6,1.22e-07,0.128
7.61,1.18e-07,0.1302
7.62,9e-08,0.1491
7.63,8.6e-08,0.1525
7.64,9.4e-08,0.1459
7.65,1.08e-07,0.1361
7.66,1.22e-07,0.128
7.67,9.6e-08,0.1443
7.68,8.2e-08,0.1562
7.69,9e-08,0.1491
7.7,8.4e-08,0.1543
7.71,7e-08,0.169
7.72,1.04e-07,0.1387
7.73,8.8e-08,0.1508
7.74,9.2e-08,0.1474
7.75,1.02e-07,0.14
7.76,8e-08,0.1581
7.77,6.6e-08,0.1741
7.78,8.2e-08,0.1562
7.79,8.6e-08,0.1525
7.8,7e-08,0.169
7.81,8e-08,0.1581
7.82,7.2e-08,0.1667
7.83,8.6e-08,0.1525
7.84,9.6e-08,0.1443
7.85,1.16e-07,0.1313
7.86,9.2e-08,0.1474
7.87,8.6e-08,0.1525
7.88,7.6e-08,0.1622
7.89,7.8e-08,0.1601
7.9,8e-08,0.1581
7.91,6.6e-08,0.1741
7.92,9.8e-08,0.1429
7.93,6.6e-08,0.1741
7.94,8.2e-08,0.1562
7.95,6.6e-08,0.1741
7.96,5.8e-08,0.1857
7.97,6e-08,0.1826
7.98,5.8e-08,0.1857
7.99,4.6e-08,0.2085
8,7.8e-08,0.1601
8.01,7e-08,0.169
8.02,7.2e-08,0.1667
8.03,6.2e-08,0.1796
8.04,6.2e-08,0.1796
8.05,6.2e-08,0.1796
8.06,6e-08,0.1826
8.07,6.4e-08,0.1768
8.08,9.4e-08,0.1459
8.09,7.4e-08,0.1644
8.1,7.2e-08,0.1667
8.11,7.6e-08,0.1622
8.12,6.2e-08,0.1796
8.13,7e-08,0.169
8.14,5.8e-08,0.1857
8.15,6e-08,0.1826
8.16,6.2e-08,0.1796
8.17,5.8e-08,0.1857
8.18,6e-08,0.1826
8.19,4.8e-08,0.2041
8.2,5.4e-08,0.1925
8.21,6.4e-08,0.1768
8.22,5e-08,0.2
8.23,4e-08,0.2236
8.24,4.8e-08,0.2041
8.25,4.4e-08,0.2132
8.26,4e-08,0.2236
8.27,5e-08,0.2
8.28,5.4e-08,0.1925
8.29,6e-08,0.1826
8.3,4.2e-08,0.2182
8.31,5.4e-08,0.1925
8.32,5.8e-08,0.1857
8.33,6.4e-08,0.1768
8.34,5.2e-08,0.1961
8.35,6.6e-08,0.1741
8.36,6e-08,0.1826
8.37,6.2e-08,0.1796
8.38,5.6e-08,0.189
8.39,6.2e-08,0.1796
8.4,6e-08,0.1826
8.41,5.6e-08,0.189
8.42,4e-08,0.2236
8.43,5.6e-08,0.189
8.44,5e-08,0.2
8.45,5.6e-08,0.189
8.46,4.8e-08,0.2041
8.47,3.4e-08,0.2425
8.48,4.2e-08,0.2182
8.49,3.2e-08,0.25
8.5,4.2e-08,0.2182
8.51,4e-08,0.2236
8.52,3.8e-08,0.2294
8.53,4.6e-08,0.2085
8.54,2.8e-08,0.2673
8.55,2e-08,0.3162
8.56,4.6e-08,0.2085
8.57,3.2e-08,0.25
8.58,3.4e-08,0.2425
8.59,3.8e-08,0.2294
8.6,4.2e-08,0.2182
8.61,4.6e-08,0.2085
8.62,3.4e-08,0.2425
8.63,4.4e-08,0.2132
8.64,3.6e-08,0.2357
8.65,4e-08,0.2236
8.66,4.6e-08,0.2085
8.67,3e-08,0.2582
8.68,4.6e-08,0.2085
8.69,2.2e-08,0.3015
8.7,5.4e-08,0.1925
8.71,5.2e-08,0.1961
8.72,4.2e-08,0.2182
8.73,3.8e-08,0.2294
8.74,4.6e-08,0.2085
8.75,3.4e-08,0.2425
